validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey
Carex pallidula,Harmaja,fingerstarr,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,LC,10.421609,63.4452,8,2023,Accepted,Valid,TRUE,Carex digitata f. pallens,"",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Corylus avellana,L.,hassel,Tracheophyta,Fagales,Betulaceae,Corylus,species,LC,LC,10.425972,63.44399,5,2022,Accepted,Valid,TRUE,Corylus avellana f. aurea,"",14d5676a-2c54-4f94-9023-1e8dcd822aa0
Geranium sylvaticum,L.,skogstorkenebb,Tracheophyta,Geraniales,Geraniaceae,Geranium,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ribes alpinum var. pilosum,Regel,alperips,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,variety,NE,LC,10.421859,63.445236,23,2021,Unchecked,"",FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Rubus saxatilis f. repens,Kuntze,teiebær,Tracheophyta,Rosales,Rosaceae,Rubus,form,NE,LC,10.421715,63.445212,10,2020,Unchecked,"",FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Berberis lycium,Royle,berberis,Tracheophyta,Ranunculales,Berberidaceae,Berberis,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Berberis vulgaris f. lycium,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Verbascum nigrum,L.,mørkkongslys,Tracheophyta,Lamiales,Scrophulariaceae,Verbascum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Verbascum nigrum f. leucerion,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Euphrasia stricta,J.P.Wolff ex J.F.Lehm.,kjerteløyentrøst,Tracheophyta,Lamiales,Orobanchaceae,Euphrasia,species,NE,LC,10.420942,63.445461,100,2023,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Campylium stellatum,(Hedw.) C.E.O.Jensen,bergstjernemose,Bryophyta,Hypnales,Amblystegiaceae,Campylium,species,NE,LC,10.4262,63.4443,1,2009,Accepted,Valid,TRUE,Campylium protensum,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta rhaptocarpa,Schwägr.,rødklokkemose,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,LC,10.4232,63.4447,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Encalypta vulgaris,Hedw.,småklokkemose,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,VU,10.4226,63.4447,10,2017,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Zygodon viridissimus,(Dicks.) Brid.,køllekjølmose,Bryophyta,Orthotrichales,Orthotrichaceae,Zygodon,species,NE,LC,10.4235,63.4454,1414,1897,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Potentilla erecta,(L.) Raeusch.,tepperot,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Geum hispidum,Fr.,kratthumleblom,Tracheophyta,Rosales,Rosaceae,Geum,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,TRUE,Geum urbanum var. hispidum,Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Campanula rotundifolia,L.,blåklokke,Tracheophyta,Asterales,Campanulaceae,Campanula,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Hypericum maculatum,Crantz,firkantperikum,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Pimpinella saxifraga,L.,gjeldkarve,Tracheophyta,Apiales,Apiaceae,Pimpinella,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ptychostomum pallens,(Sw.) J.R.Spence,vinvrangmose,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Amblystegium serpens,(Hedw.) Schimp.,trådkrypmose,Bryophyta,Hypnales,Amblystegiaceae,Amblystegium,species,NE,LC,10.4235,63.4454,1414,1889,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Veronica chamaedrys,L.,marmorleddsnegl,Tracheophyta,Lamiales,Plantaginaceae,Veronica,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Buckia vaucheri,"(Lesq.) D. Ríos, M.T. Gallego & J. Guerra",gullflette,Bryophyta,Hypnales,Pylaisiaceae,Buckia,species,NE,LC,10.4235,63.4454,1414,1889,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pseudanomodon attenuatus,(Hedw.) Ignatov & Fedosov,piskraggmose,Bryophyta,Hypnales,"",Pseudanomodon,species,NE,LC,10.4235,63.4454,1414,1888,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Plenogemma phyllantha,"(Brid.) Sawicki, Plášek & Ochyra",piggknoppgullhette,Bryophyta,Orthotrichales,Orthotrichaceae,Plenogemma,species,NE,LC,10.4235,63.4454,1414,1897,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Geheebia ferruginea,(Schimp. ex Besch.) R.H. Zander,,Bryophyta,Pottiales,Pottiaceae,Geheebia,species,NE,,10.4235,63.4454,1414,1894,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Bryoerythrophyllum recurvirostrum,(Hedw.) P.C.Chen,rødfotmose,Bryophyta,Pottiales,Pottiaceae,Bryoerythrophyllum,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortella fragilis,(Hook. & Wilson) Limpr.,skjørvrimose,Bryophyta,Pottiales,Pottiaceae,Tortella,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Orthotrichum cupulatum,Hoffm. ex Brid.,strandbustehette,Bryophyta,Orthotrichales,Orthotrichaceae,Orthotrichum,species,NE,LC,10.4235,63.4454,1414,1891,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hylocomium splendens,(Hedw.) Schimp.,etasjemose,Bryophyta,Hypnales,Hylocomiaceae,Hylocomium,species,NE,LC,10.4235,63.4454,1414,1954,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Isothecium alopecuroides,(Lam. ex Dubois) Isov.,rottehalemose,Bryophyta,Hypnales,Lembophyllaceae,Isothecium,species,NE,LC,10.4235,63.4454,1414,1894,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Eurhynchium striatum,(Schreb. ex Hedw.) Schimp.,kystmoldmose,Bryophyta,Hypnales,Brachytheciaceae,Eurhynchium,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pseudoleskeella tectorum,(Funck ex Brid.) Kindb. ex Broth.,klotråklemose,Bryophyta,Hypnales,Leskeaceae,Pseudoleskeella,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Platydictya jungermannioides,(Brid.) H.A.Crum,hårmose,Bryophyta,Hypnales,Plagiotheciaceae,Platydictya,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pterigynandrum filiforme,Hedw.,reipmose,Bryophyta,Hypnales,Pterigynandraceae,Pterigynandrum,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hypnum cupressiforme,Hedw.,matteflette,Bryophyta,Hypnales,Hypnaceae,Hypnum,species,NE,LC,10.4235,63.4454,1414,1895,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ctenidium molluscum,(Hedw.) Mitt.,kammose,Bryophyta,Hypnales,Hypnaceae,Ctenidium,species,NE,LC,10.4262,63.4443,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Conocephalum conicum,(L.) Underw.,sumpkrokodillemose,Marchantiophyta,Marchantiales,Conocephalaceae,Conocephalum,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Luzula pilosa,(L.) Willd.,hårfrytle,Tracheophyta,Poales,Juncaceae,Luzula,species,NE,LC,10.422191,63.445275,8,2021,Accepted,Valid,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Luzula multiflora  subsp. multiflora,"",engfrytle,Tracheophyta,Poales,Juncaceae,Luzula,subspecies,,LC,10.4218,63.4452,7,2008,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Poa alpina var. nana,Latourr.,fjellrapp,Tracheophyta,Poales,Poaceae,Poa,variety,NE,LC,10.421868,63.445268,5,2010,Unchecked,"",FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Poa compressa var. laxa,Scribn.,flatrapp,Tracheophyta,Poales,Poaceae,Poa,variety,NE,LC,10.4234,63.4449,7,2008,Unchecked,"",FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Carex flacca,Schreb.,blåstarr,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,NT,10.4216,63.4453,7,2008,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Linum catharticum,L.,vill-lin,Tracheophyta,Malpighiales,Linaceae,Linum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Vaccinium vitis-idaea,L.,tyttebær,Tracheophyta,Ericales,Ericaceae,Vaccinium,species,LC,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Succisa pratensis,Moench,blåknapp,Tracheophyta,Dipsacales,Caprifoliaceae,Succisa,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Convolvulus arvensis,L.,åkervindel,Tracheophyta,Solanales,Convolvulaceae,Convolvulus,species,NE,LC,10.424949,63.444353,10,2007,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Vicia sepium,L.,gjerdevikke,Tracheophyta,Fabales,Fabaceae,Vicia,species,LC,LC,10.42185,63.445276,25,2012,Accepted,Valid,TRUE,Vicia sepium var. alba,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Rubus idaeus  f. succineus,Rehder,bringebær,Tracheophyta,Rosales,Rosaceae,Rubus,form,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Rubus idaeus f. albus,Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Prunus padus f. glauca,(Nakai) Kitag.,hegg,Tracheophyta,Rosales,Rosaceae,Prunus,form,LC,LC,10.42202,63.445503,6,2021,Unchecked,"",FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Alchemilla monticola,Opiz,beitemarikåpe,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Populus tremula f. rthensis,T.Bunusevac & S.Jovanovic,osp,Tracheophyta,Malpighiales,Salicaceae,Populus,form,LC,LC,10.421303,63.445625,,2020,Unchecked,"",FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Descurainia sophia,(L.) Webb ex Prantl,hundesennep,Tracheophyta,Brassicales,Brassicaceae,Descurainia,species,NE,LC,10.4235,63.4454,1414,1923,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Erysimum virgatum,Roth,berggull,Tracheophyta,Brassicales,Brassicaceae,Erysimum,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Arabidopsis thaliana,(L.) Heynh.,"",Tracheophyta,Brassicales,Brassicaceae,Arabidopsis,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Sagina nodosa,(L.) Fenzl,knopparve,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Senecio dubitabilis,C.Jeffrey & Y.L.Chen,åkersvineblom,Tracheophyta,Asterales,Asteraceae,Senecio,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Senecio vulgaris var. dubius,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Lapsana communis  subsp. alpina,(Boiss. & Balansa) P.D.Sell,haremat,Tracheophyta,Asterales,Asteraceae,Lapsana,subspecies,NE,LC,10.425461,63.444108,25,2023,Accepted,Valid,FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Hieracium umbellatum,L.,skjermsveve,Tracheophyta,Asterales,Asteraceae,Hieracium,species,NE,NE,10.4236,63.445,7,2008,Accepted,Valid,FALSE,"",Not a synonym,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
