validScientificName
Chrysophyllum rufum Mart.
Chrysopogon gryllus (L.) Trin.
Chrysopsis camporum Greene
Chrysosplenium alternifolium L.
Cicendia filiformis (L.) Delarbre
Cicerbita alpina (L.) Wallr.
Cicerbita racemosa (Willd.) Beauverd
Cichorium intybus L.
Cicuta virosa L.
Cinnamomum glanduliferum (Wall.) Meisn.
Cinnamomum triplinerve (Ruiz & Pav.) Kosterm.
Circaea alpina L.
Circaea lutetiana L. lutetiana
Cirsium acaule Scop.
Cirsium alsophilum (Pollini) Soldano
Cirsium discolor (Muhl. ex Willd.) Spreng.
Cirsium dissectum (L.) Hill
Cirsium erisithales (Jacq.) Scop.
Cirsium helenioides (L.) Hill
Cirsium oleraceum Scop.
Cirsium pannonicum (L. f.) Link
Cirsium simplex C.A. Mey.
Cirsium tuberosum All.
Cirsium vulgare (Savi) Ten.
Cirsium wheeleri (A. Gray) Petr.
Cistus albidus L.
Cistus clusii Dunal
Cistus creticus L. eriocephalus (Viv.) Greuter & Burdet
Cistus ladanifer L.
Cistus laurifolius L.
Cistus monspeliensis L.
Cistus salvifolius L.
Cladium mariscus (L.) Pohl
Claytonia perfoliata Donn ex Willd.
Claytonia virginica L.
Cleistanthus maingayi Hook. f.
Clematis alpina (L.) Mill.
Clematis flammula L.
Clematis recta L.
Clematis vitalba L.
Clematis viticella L.
Clidemia dentata Pav. ex D. Don
Clidemia octona (Bonpl.) L.O. Williams
Clidemia septuplinervia Cogn.
Clinopodium vulgare L. vulgare
Clusia nemorosa G. Mey.
Cnicus benedictus L.
Cnidium dubium Thell.
Coccoloba alnifolia Casar.
Coccoloba cereifera Schwacke
Coccoloba coronata Jacq.
Coccoloba laevis Casar.
Coccoloba manzinellensis Beurl.
Coccoloba mollis Casar.
Coccoloba parimensis Benth.
Cochlearia danica L.
Cochlospermum regium (Schrank) Pilg.
Coeloglossum viride (L.) Hartm.
Coffea arabica L.
Cojoba catenata (Donn. Sm.) Britton & Rose
Colchicum autumnale L.
Cologania angustifolia Kunth
Colubrina glandulosa Perkins
Colutea arborescens L.
Combretum laxum Jacq.
Commelina benghalensis L.
Commelina communis L.
Commelina petersii Hassk.
Conium maculatum L.
Connarus turczaninowii Triana
Conostegia bracteata Triana
Conostegia cinnamomea (Beurl.) Wurdack
Conringia orientalis (L.) C. Presl
Consolida regalis Gray
Convallaria majalis L.
Convolvulus arvensis L.
Conyza bonariensis (L.) Cronquist
Conyza canadensis (L.) Cronquist
Copaifera duckei Dwyer
Coptis groenlandica (O.F. Müll.) Fernald
Cordia alliodora (Ruiz & Pav.) Oken
Cordia bicolor A. DC.
Cordia lasiocalyx Pittier
Cordia superba Cham.
Coreopsis palmata Nutt.
Coreopsis tinctoria Nutt.
Coriandrum sativum L.
Coriaria myrtifolia L.
Corispermum intermedium Schweigg.
Cornus drummondii C.A. Mey.
Cornus mas L.
Cornus rugosa Lam.
Cornus sanguinea L.
Cornus stolonifera Michx.
Cornus suecica L.
Coronilla coronata L.
Coronilla emerus L.
Coronilla vaginalis Lam.
Coronilla varia L.
Coronopus squamatus (Forssk.) Asch.
Corrigiola litoralis L.
Corydalis cava Schweigger & Korte
Corydalis conorhiza Ledeb
Corydalis solida (L.) Clairv.
Corylus avellana L.
Corynephorus canescens (L.) P. Beauv.
Cosmos parviflorus (Jacq.) Pers.
Cotinus coggygria Scop.
Cotoneaster horizontalis Decne.
Cotoneaster integerrimus Medik.
Cotula coronopifolia L.
Coussarea curvigemmia Dwyer
Coutarea hexandra (Jacq.) K. Schum.
Crataegus laevigata (Poir.) DC.
Crataegus monogyna Jacq.
Crataegus submollis Sarg.
Crepis aurea (L.) Cass. aurea
Crepis capillaris (L.) Wallr.
Crepis foetida L.
Crepis froelichiana DC.
Crepis glabra Boiss.
Crepis jacquinii Tausch kerneri (Rech. f.) Merxm.
Crepis pyrenaica Greuter
Crepis setosa Haller f.
Crepis tectorum L.
Crepis vesicaria L. taraxacifolia (Thuill.) Thell.
Crotalaria sagittalis L.
Croton argyratus Blume
Croton billbergianus Müll. Arg.
Croton capitatus Michx.
Cruciata glabra (L.) Ehrend. glabra
Cruciata laevipes Opiz
Cucurbita pepo L.
Cupania cinerea Poepp.
