validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Carex pallidula,Harmaja,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,10.421609,63.4452,8,2023,Valid,Accepted,TRUE,Carex digitata f. pallens,"",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Corylus avellana,L.,Tracheophyta,Fagales,Betulaceae,Corylus,species,LC,10.425972,63.44399,5,2022,Valid,Accepted,TRUE,Corylus avellana f. aurea,"",14d5676a-2c54-4f94-9023-1e8dcd822aa0
Geranium sylvaticum,L.,Tracheophyta,Geraniales,Geraniaceae,Geranium,species,NE,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ribes alpinum var. pilosum,Regel,Tracheophyta,Saxifragales,Grossulariaceae,Ribes,variety,NE,10.421859,63.445236,23,2021,"",Unchecked,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Rubus saxatilis f. repens,Kuntze,Tracheophyta,Rosales,Rosaceae,Rubus,form,NE,10.421715,63.445212,10,2020,"",Unchecked,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Berberis lycium,Royle,Tracheophyta,Ranunculales,Berberidaceae,Berberis,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,TRUE,Berberis vulgaris f. lycium,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Tanacetum vulgare  subsp. vulgare,"",Tracheophyta,Asterales,Asteraceae,Tanacetum,subspecies,NE,10.421715,63.445212,10,2020,Valid,Accepted,TRUE,Tanacetum vulgare f. crispum,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Achillea millefolium,L.,Tracheophyta,Asterales,Asteraceae,Achillea,species,LC,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Verbascum nigrum,L.,Tracheophyta,Lamiales,Scrophulariaceae,Verbascum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Verbascum nigrum f. leucerion,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Euphrasia stricta,J.P.Wolff ex J.F.Lehm.,Tracheophyta,Lamiales,Orobanchaceae,Euphrasia,species,NE,10.420942,63.445461,100,2023,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
