validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Geum rivale,L.,Tracheophyta,Rosales,Rosaceae,Geum,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Geum rivale f. rivale,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Actaea rubra,(Aiton) Willd.,Tracheophyta,Ranunculales,Ranunculaceae,Actaea,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Actaea spicata var. alba,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Angelica sylvestris,L.,Tracheophyta,Apiales,Apiaceae,Angelica,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Salix caprea f. pendula,(T.Lang) Geerinck,Tracheophyta,Malpighiales,Salicaceae,Salix,form,LC,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Barbarea stricta,Andrz.,Tracheophyta,Brassicales,Brassicaceae,Barbarea,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Alliaria petiolata,(M.Bieb.) Cavara & Grande,Tracheophyta,Brassicales,Brassicaceae,Alliaria,species,NE,10.4245,63.444,71,2009,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Stellaria media,(L.) Vill.,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Stellaria graminea,L.,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Silene dioica,(L.) Clairv.,Tracheophyta,Caryophyllales,Caryophyllaceae,Silene,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Antennaria dioica,(L.) Gaertn.,Tracheophyta,Asterales,Asteraceae,Antennaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Arctium minus,Schkuhr,Tracheophyta,Asterales,Asteraceae,Arctium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Taraxacum officinale,F.H.Wigg.,Tracheophyta,Asterales,Asteraceae,Taraxacum,species,NE,10.423274,63.444563,8,2021,Valid,Accepted,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Campanula glomerata,L.,Tracheophyta,Asterales,Campanulaceae,Campanula,species,NE,10.4235,63.4454,1414,1904,Valid,Accepted,FALSE,"",Accepted,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Bergenia crassifolia,(L.) Fritsch,Tracheophyta,Saxifragales,Saxifragaceae,Bergenia,species,NE,10.426494,63.444473,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Solenostoma obovatum,(Nees) R.M.Schust.,Marchantiophyta,Jungermanniales,Solenostomataceae,Solenostoma,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"",Accepted,6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Plagiothecium undulatum,(Hedw.) Schimp.,Bryophyta,Hypnales,Plagiotheciaceae,Plagiothecium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Empetrum nigrum  subsp. hermaphroditum,(Hagerup) Böcher,Tracheophyta,Ericales,Ericaceae,Empetrum,subspecies,,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Empetrum hermaphroditum,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Persicaria maculosa,Gray,Tracheophyta,Caryophyllales,Polygonaceae,Persicaria,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Persicaria maculosa var. argentea,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Juncus gerardii,Loisel.,Tracheophyta,Poales,Juncaceae,Juncus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Juncus bufonius,L.,Tracheophyta,Poales,Juncaceae,Juncus,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Juncus bufonius f. alpinus,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Epilobium angustifolium,L.,Tracheophyta,Myrtales,Onagraceae,Epilobium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Chamaenerion angustifolium,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Solidago virgaurea,L.,Tracheophyta,Asterales,Asteraceae,Solidago,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be
Viola riviniana,Rchb.,Tracheophyta,Malpighiales,Violaceae,Viola,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Melampyrum sylvaticum,L.,Tracheophyta,Lamiales,Orobanchaceae,Melampyrum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be
Hymenostylium recurvirostrum,(Hedw.) Dixon,Bryophyta,Pottiales,Pottiaceae,Hymenostylium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Plagiomnium cuspidatum,(Hedw.) T.J.Kop.,Bryophyta,Bryales,Mniaceae,Plagiomnium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Sciuro-hypnum starkii,(Brid.) Ignatov & Huttunen,Bryophyta,Hypnales,Brachytheciaceae,Sciuro-hypnum,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Homalia trichomanoides,(Hedw.) Schimp.,Bryophyta,Hypnales,Neckeraceae,Homalia,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Niphotrichum canescens  subsp. latifolium,(Lange & C.E.O.Jensen) Bednarek-Ochyra & Ochyra,Bryophyta,Grimmiales,Grimmiaceae,Niphotrichum,subspecies,,10.4235,63.4454,1414,,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rosa subcanina,(Christ) Vuk.,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,10.4235,63.4454,1414,1923,Valid,Accepted,FALSE,"",Not a synonym,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Myosotis ramosissima,Rochel,Tracheophyta,Boraginales,Boraginaceae,Myosotis,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Cololejeunea calcarea,(Lib.) Stephani,Marchantiophyta,Porellales,Lejeuneaceae,Cololejeunea,species,NE,10.4235,63.4454,1414,1897,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Melampyrum pratense,L.,Tracheophyta,Lamiales,Orobanchaceae,Melampyrum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Viola ruppii,Hegetschw.,Tracheophyta,Malpighiales,Violaceae,Viola,species,,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Hymenoloma crispulum,(Hedw.) Ochyra,Bryophyta,Scouleriales,Rhabdoweisiaceae,Hymenoloma,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Polygonum aviculare,L.,Tracheophyta,Caryophyllales,Polygonaceae,Polygonum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Ptychostomum intermedium,(Brid.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4235,63.4454,1414,1890,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pilosella,Hill,Tracheophyta,Asterales,Asteraceae,Pilosella,genus,NE,10.4216,63.4452,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Orthotrichum pumilum,Sw.,Bryophyta,Orthotrichales,Orthotrichaceae,Orthotrichum,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,TRUE,Orthotrichum schimperi,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortula hoppeana,(Schultz) Ochyra,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,10.4235,63.4454,1414,1890,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Brassica rapa,L.,Tracheophyta,Brassicales,Brassicaceae,Brassica,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Brassica rapa f. alba,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Equisetum arvense,L.,Tracheophyta,Equisetales,Equisetaceae,Equisetum,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Equisetum arvense f. nanum,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Barbarea sicula,C.Presl,Tracheophyta,Brassicales,Brassicaceae,Barbarea,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Barbarea vulgaris var. sicula,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Cardamine pratensis,L.,Tracheophyta,Brassicales,Brassicaceae,Cardamine,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Rhizomnium punctatum,(Hedw.) T.J.Kop.,Bryophyta,Bryales,Mniaceae,Rhizomnium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Euphrasia stricta,J.P.Wolff ex J.F.Lehm.,Tracheophyta,Lamiales,Orobanchaceae,Euphrasia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Leontodon,L.,Tracheophyta,Asterales,Asteraceae,Leontodon,genus,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Deschampsia cespitosa,(L.) P.Beauv.,Tracheophyta,Poales,Poaceae,Deschampsia,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Valeriana sambucifolia  subsp. sambucifolia f. dageletiana,(Nakaj. ex Maekawa) Hara,Tracheophyta,Dipsacales,Caprifoliaceae,Valeriana,form,,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Vaccinium uliginosum,L.,Tracheophyta,Ericales,Ericaceae,Vaccinium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Arenaria serpyllifolia,L.,Tracheophyta,Caryophyllales,Caryophyllaceae,Arenaria,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Gemmabryum caespiticium,(Hedw.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Gemmabryum,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Asplenium trichomanes,L.,Tracheophyta,Polypodiales,Aspleniaceae,Asplenium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Serpoleskea confervoides,(Brid.) Loeske,Bryophyta,Hypnales,Plagiotheciaceae,Serpoleskea,species,NE,10.4235,63.4454,1414,1894,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Archidium alternifolium,(Dicks. ex Hedw.) Mitt.,Bryophyta,Archidiales,Archidiaceae,Archidium,species,NE,10.4235,63.4454,1414,1896,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Melilotus officinalis,(L.) Pall.,Tracheophyta,Fabales,Fabaceae,Melilotus,species,NE,10.4235,63.4454,1414,1904,Valid,Accepted,FALSE,"",smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Dicranum fuscescens  var. flexicaule,(Brid.) Wilson,Bryophyta,Dicranales,Dicranaceae,Dicranum,variety,NE,10.4235,63.4454,1414,1888,Valid,Accepted,TRUE,Dicranum flexicaule,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rumex stenophyllus,Ledeb.,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Rumex crispus var. dentatus,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Oxalis acetosella,L.,Tracheophyta,Oxalidales,Oxalidaceae,Oxalis,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Oxalis acetosella f. rosea,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Sonchus oleraceus,L.,Tracheophyta,Asterales,Asteraceae,Sonchus,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Sonchus oleraceus var. asper,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Alleniella complanata,"(Hedw.) S.Olsson, Enroth & D.Quandt",Bryophyta,Hypnales,Neckeraceae,Alleniella,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Metzgeria furcata,(L.) Corda,Marchantiophyta,Metzgeriales,Metzgeriaceae,Metzgeria,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptychostomum knowltonii,(Barnes) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Imbribryum alpinum,(Huds. ex With.) N.Pedersen,Bryophyta,Bryales,Bryaceae,Imbribryum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ulota crispa,(Hedw.) Brid.,Bryophyta,Orthotrichales,Orthotrichaceae,Ulota,species,LC,10.4235,63.4454,1414,1888,Valid,Accepted,TRUE,Ulota bruchii,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Chiloscyphus pallescens,(Ehrh. ex Hoffm.) Dumort.,Marchantiophyta,Jungermanniales,Lophocoleaceae,Chiloscyphus,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rosulabryum elegans,(Nees) Ochyra,Bryophyta,Bryales,Bryaceae,Rosulabryum,species,NE,10.4235,63.4454,1414,1890,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Scapania cuspiduligera,(Nees) K.Müller,Marchantiophyta,Jungermanniales,Scapaniaceae,Scapania,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Trifolium pratense,L.,Tracheophyta,Fabales,Fabaceae,Trifolium,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Brachytheciastrum velutinum,(Hedw.) Ignatov & Huttunen,Bryophyta,Hypnales,Brachytheciaceae,Brachytheciastrum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Dicranum polysetum,Sw.,Bryophyta,Dicranales,Dicranaceae,Dicranum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"",Accepted,6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Primula vulgaris,Huds.,Tracheophyta,Ericales,Primulaceae,Primula,species,NE,10.4235,63.4454,1414,1892,Valid,Accepted,TRUE,Primula veris var. acaulis,smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Silene uniflora,Roth,Tracheophyta,Caryophyllales,Caryophyllaceae,Silene,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Aria edulis,M.Roem.,Tracheophyta,Rosales,Rosaceae,Aria,species,NE,10.4225,63.4449,71,2004,Valid,Accepted,FALSE,"",Accepted,e45c7d91-81c6-4455-86e3-2965a5739b1f
Amblyodon dealbatus,(Sw. ex Hedw.) Bruch & Schimp.,Bryophyta,Splachnales,Meesiaceae,Amblyodon,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Mesoptychia heterocolpos,(Thed. ex Hartm.) L. Söderstr. & Váňa,Marchantiophyta,Jungermanniales,Jungermanniaceae,Mesoptychia,species,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lejeunea cavifolia,(Ehrh.) Lindb.,Marchantiophyta,Porellales,Lejeuneaceae,Lejeunea,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"",Accepted,6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Empetrum nigrum  subsp. nigrum,"",Tracheophyta,Ericales,Ericaceae,Empetrum,subspecies,,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Seligeria donniana,(Sm.) Müll.Hal.,Bryophyta,Grimmiales,Seligeriaceae,Seligeria,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Phleum pratense,L.,Tracheophyta,Poales,Poaceae,Phleum,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Phleum pratense f. fallax,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Ranunculus ficaria,L.,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,species,NE,10.425209,63.444074,8,2021,Valid,Accepted,TRUE,Ficaria verna,"",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Betula pubescens,Ehrh.,Tracheophyta,Fagales,Betulaceae,Betula,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Betula pubescens var. media,"",f06ed729-104f-4e51-9db3-dfd9b228a1be
Alnus incana,(L.) Moench,Tracheophyta,Fagales,Betulaceae,Alnus,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Silene vulgaris,(Moench) Garcke,Tracheophyta,Caryophyllales,Caryophyllaceae,Silene,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Ligusticum,L.,Tracheophyta,Apiales,Apiaceae,Ligusticum,genus,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Crataegus monogyna var. rosea,(Willd.) K.Koch,Tracheophyta,Rosales,Rosaceae,Crataegus,variety,LC,10.426,63.4444,7,2005,"",Unchecked,FALSE,"",smallest ID,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Aria rupicola,(Syme) Mezhenskyj,Tracheophyta,Rosales,Rosaceae,Aria,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be
Pilosella officinarum,Vaill.,Tracheophyta,Asterales,Asteraceae,Pilosella,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be
Dilutineuron fasciculare,"(Schrad. ex Hedw.) Bedn.-Ochyra, Sawicki, Ochyra, Szczecińska & Plášek",Bryophyta,Grimmiales,"",Dilutineuron,species,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lewinskya striata,"(Hedw.) F. Lara, Garilleti & Goffinet",Bryophyta,Orthotrichales,Orthotrichaceae,Lewinskya,species,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Lewinskya rupestris var. papillosa,"(Lewinsky) F. Lara, Garilleti & Goffinet",Bryophyta,Orthotrichales,Orthotrichaceae,Lewinskya,variety,NE,10.4235,63.4454,1414,1890,"",Unchecked,FALSE,"",smallest ID,6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Flexitrichum flexicaule,(Schwägr.) Ignatov & Fedosov,Bryophyta,Scouleriales,Flexitrichaceae,Flexitrichum,species,NE,10.4216,63.4452,1,2009,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Eurhynchiastrum diversifolium,(Schimp.) J. Guerra,Bryophyta,Hypnales,Brachytheciaceae,Eurhynchiastrum,species,NE,10.4235,63.4454,1414,1889,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cephaloziella rubella,(Nees) Warnst.,Marchantiophyta,Jungermanniales,Cephaloziellaceae,Cephaloziella,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Anomobryum julaceum,"(Schrad. ex P.Gaertn., B.Mey. & Scherb.) Schimp.",Bryophyta,Bryales,Bryaceae,Anomobryum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,TRUE,Anomobryum concinnatum,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
